"DAY","CELL_NAME","ENBNAME","FDD_TDD","DL_EARFCN","MMM","LTE_CONG"
16/07/23,"SAF223_L2","SAF223","CELL_FDD",1850,"07-2023",0
16/07/23,"MOH709_L3","MOH709","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB196_L6","RAB196","CELL_FDD",3250,"07-2023",0
16/07/23,"TAN915_L3","TAN915","CELL_FDD",1850,"07-2023",0
16/07/23,"CHT001_L1","CHT001","CELL_FDD",1850,"07-2023",0
16/07/23,"TAO909_L1","TAO909","CELL_FDD",1850,"07-2023",0
16/07/23,"FES087_L6","FES087","CELL_FDD",3250,"07-2023",0
16/07/23,"JAD626_L3","JAD626","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN051_L4","TAN051","CELL_FDD",3250,"07-2023",0
16/07/23,"CA008_L1","CA008","CELL_FDD",1850,"07-2023",0
16/07/23,"CA031_L3","CA031","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB205_L2","RAB205","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB205_L3","RAB205","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1444_L2","CAS1444","CELL_FDD",1850,"07-2023",0
16/07/23,"MOH032_TDD_L2","MOH032","CELL_TDD",41825,"07-2023",0
16/07/23,"TAN9053_L3","TAN9053","CELL_FDD",1850,"07-2023",0
16/07/23,"AGA401_L7","AGA401","CELL_FDD",6200,"07-2023",0
16/07/23,"KEP002_L2","KEP002","CELL_FDD",1850,"07-2023",0
16/07/23,"MEK108_L2","MEK108","CELL_FDD",1850,"07-2023",0
16/07/23,"OUJ906_L6","OUJ906","CELL_FDD",3250,"07-2023",0
16/07/23,"DAK142_L6","DAK142","CELL_FDD",3250,"07-2023",0
16/07/23,"FES972_TDD_L6","FES972","CELL_TDD",42825,"07-2023",0
16/07/23,"MRT008_L9","MRT008","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR1257_L1","MAR1257","CELL_FDD",1850,"07-2023",0
16/07/23,"BEN060_L8","BEN060","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1903_L1","CAS1903","CELL_FDD",1850,"07-2023",0
16/07/23,"MAR1272_L9","MAR1272","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1706_L2","CAS1706","CELL_FDD",1850,"07-2023",0
16/07/23,"TET848_L3","TET848","CELL_FDD",1850,"07-2023",0
16/07/23,"SET1041_L3","SET1041","CELL_FDD",1850,"07-2023",0
16/07/23,"MED314_L1","MED314","CELL_FDD",1850,"07-2023",0
16/07/23,"SET1038_L5","SET1038","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS196_TDD_L105","CAS196","CELL_TDD",42825,"07-2023",0
16/07/23,"CAS1860_L4","CAS1860","CELL_FDD",3250,"07-2023",0
16/07/23,"KEN032_L2","KEN032","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB944_L2","RAB944","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1173_L2","CAS1173","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS229_L6","CAS229","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1415_L5","CAS1415","CELL_FDD",3250,"07-2023",0
16/07/23,"GRF933_L9","GRF933","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1345_L5","CAS1345","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1429_TDD_L102","CAS1429","CELL_TDD",41825,"07-2023",0
16/07/23,"SE013_L7","SE013","CELL_FDD",6200,"07-2023",0
16/07/23,"LAR300_L7","LAR300","CELL_FDD",6200,"07-2023",1
16/07/23,"SAF654_L3","SAF654","CELL_FDD",1850,"07-2023",0
16/07/23,"FES1040_L3_4T4R","FES1040","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB949_L1","RAB949","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB089_TDD_L2","RAB089","CELL_TDD",41825,"07-2023",0
16/07/23,"RAB992_TDD_L6","RAB992","CELL_TDD",42825,"07-2023",0
16/07/23,"RAB951_TDD_L3","RAB951","CELL_TDD",41825,"07-2023",0
16/07/23,"TAN9145_L6","TAN9145","CELL_FDD",3250,"07-2023",0
16/07/23,"TAN9018_L4","TAN9018","CELL_FDD",3250,"07-2023",0
16/07/23,"MEK653_TDD_L104","MEK653","CELL_TDD",42825,"07-2023",0
16/07/23,"CAS1393_L6","CAS1393","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1188_TDD_L103","CAS1188","CELL_TDD",41825,"07-2023",0
16/07/23,"CAS1128_TDD_L103","CAS1128","CELL_TDD",41825,"07-2023",0
16/07/23,"OUJ057_L1","OUJ057","CELL_FDD",1850,"07-2023",0
16/07/23,"OUJ002_L3","OUJ002","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB984_L1","RAB984","CELL_FDD",1850,"07-2023",0
16/07/23,"OUR004_L1","OUR004","CELL_FDD",1850,"07-2023",0
16/07/23,"TAO927_L3","TAO927","CELL_FDD",1850,"07-2023",0
16/07/23,"JAD967_L3","JAD967","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN988_L9","TAN988","CELL_FDD",6200,"07-2023",1
16/07/23,"AGA1103_L4","AGA1103","CELL_FDD",3250,"07-2023",0
16/07/23,"TAN988_L8","TAN988","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1311_L7","CAS1311","CELL_FDD",6200,"07-2023",0
16/07/23,"FES1045_L8","FES1045","CELL_FDD",6200,"07-2023",0
16/07/23,"KBG744_L1","KBG744","CELL_FDD",1850,"07-2023",0
16/07/23,"SAF653_L1","SAF653","CELL_FDD",1850,"07-2023",0
16/07/23,"MEK763_L2","MEK763","CELL_FDD",1850,"07-2023",0
16/07/23,"FES1028_TDD_L6","FES1028","CELL_TDD",42825,"07-2023",0
16/07/23,"TAN9230_L1","TAN9230","CELL_FDD",1850,"07-2023",1
16/07/23,"MAR1079_L7","MAR1079","CELL_FDD",6200,"07-2023",1
16/07/23,"MRT013_L9","MRT013","CELL_FDD",6200,"07-2023",0
16/07/23,"OUR806_L8","OUR806","CELL_FDD",6200,"07-2023",0
16/07/23,"JAD655_L7","JAD655","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR936_L2","MAR936","CELL_FDD",1850,"07-2023",0
16/07/23,"FES981_L2","FES981","CELL_FDD",1850,"07-2023",0
16/07/23,"AGA1027_L1","AGA1027","CELL_FDD",1850,"07-2023",0
16/07/23,"SGH913_L3","SGH913","CELL_FDD",1850,"07-2023",0
16/07/23,"LAA940_L3","LAA940","CELL_FDD",1850,"07-2023",0
16/07/23,"OUR1011_L3","OUR1011","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS207_L1","CAS207","CELL_FDD",1850,"07-2023",0
16/07/23,"OUJ840_L2","OUJ840","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1319_L8","CAS1319","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR932_L8","MAR932","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR1024_TDD_L2","MAR1024","CELL_TDD",41825,"07-2023",0
16/07/23,"KEN023_TDD_L2","KEN023","CELL_TDD",41825,"07-2023",0
16/07/23,"TAN9126_L7","TAN9126","CELL_FDD",6200,"07-2023",0
16/07/23,"CA022_TDD_L103","CA022","CELL_TDD",41825,"07-2023",0
16/07/23,"KBG744_L8","KBG744","CELL_FDD",6200,"07-2023",1
16/07/23,"FES980_L6","FES980","CELL_FDD",3250,"07-2023",0
16/07/23,"SET947_L5","SET947","CELL_FDD",3250,"07-2023",0
16/07/23,"KF053_L4","KF053","CELL_FDD",3250,"07-2023",0
16/07/23,"RAB096_L8","RAB096","CELL_FDD",6200,"07-2023",0
16/07/23,"ASI400_L3","ASI400","CELL_FDD",1850,"07-2023",1
16/07/23,"CAS137_L2","CAS137","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS179_L2","CAS179","CELL_FDD",1850,"07-2023",0
16/07/23,"OUJ829_L1","OUJ829","CELL_FDD",1850,"07-2023",0
16/07/23,"KBG549_L3","KBG549","CELL_FDD",1850,"07-2023",0
16/07/23,"NAD110_L4","NAD110","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1349_L7","CAS1349","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR1161_L9","MAR1161","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR1161_L7","MAR1161","CELL_FDD",6200,"07-2023",0
16/07/23,"JAD683_L1","JAD683","CELL_FDD",1850,"07-2023",0
16/07/23,"AGA073_TDD_L3","AGA073","CELL_TDD",41825,"07-2023",0
16/07/23,"TAN019_TDD_L2","TAN019","CELL_TDD",41825,"07-2023",0
16/07/23,"AGA053_TDD_L4","AGA053","CELL_TDD",42825,"07-2023",0
16/07/23,"TAN9137_L4","TAN9137","CELL_FDD",3250,"07-2023",0
16/07/23,"ZAG026_L9","ZAG026","CELL_FDD",6200,"07-2023",0
16/07/23,"SAF645_L8","SAF645","CELL_FDD",6200,"07-2023",1
16/07/23,"CAS1170_L1","CAS1170","CELL_FDD",1850,"07-2023",0
16/07/23,"SA012_L1","SA012","CELL_FDD",1850,"07-2023",0
16/07/23,"KEN982_L2","KEN982","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1325_L4","CAS1325","CELL_FDD",3250,"07-2023",0
16/07/23,"KBG551_L3","KBG551","CELL_FDD",1850,"07-2023",1
16/07/23,"CAS1129_L8","CAS1129","CELL_FDD",6200,"07-2023",0
16/07/23,"RAB099_TDD_L2","RAB099","CELL_TDD",41825,"07-2023",0
16/07/23,"RA042_TDD_L2","RA042","CELL_TDD",41825,"07-2023",0
16/07/23,"KEN1022_L3","KEN1022","CELL_FDD",1850,"07-2023",0
16/07/23,"AGA1080_L5","AGA1080","CELL_FDD",3250,"07-2023",0
16/07/23,"MEK675_L6","MEK675","CELL_FDD",3250,"07-2023",0
16/07/23,"MEK675_L5","MEK675","CELL_FDD",3250,"07-2023",0
16/07/23,"OUJ077_L5","OUJ077","CELL_FDD",3250,"07-2023",0
16/07/23,"MEK704_L4","MEK704","CELL_FDD",3250,"07-2023",0
16/07/23,"MEK703_L5","MEK703","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1558_L9","CAS1558","CELL_FDD",6200,"07-2023",1
16/07/23,"CAS1730_L4","CAS1730","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1825_L4","CAS1825","CELL_FDD",3250,"07-2023",0
16/07/23,"SAF704_L2","SAF704","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1593_L7","CAS1593","CELL_FDD",6200,"07-2023",0
16/07/23,"LAR157_L8","LAR157","CELL_FDD",6200,"07-2023",0
16/07/23,"TAN303_L2","TAN303","CELL_FDD",1850,"07-2023",1
16/07/23,"JAD069_L6","JAD069","CELL_FDD",3250,"07-2023",0
16/07/23,"JAD311_L5","JAD311","CELL_FDD",3250,"07-2023",0
16/07/23,"MAR1143_TDD_L4","MAR1143","CELL_TDD",42825,"07-2023",0
16/07/23,"MAR1143_TDD_L2","MAR1143","CELL_TDD",41825,"07-2023",0
16/07/23,"FES068_TDD_L6","FES068","CELL_TDD",42825,"07-2023",0
16/07/23,"ALH925_L4","ALH925","CELL_FDD",3250,"07-2023",0
16/07/23,"TAN9252_L3","TAN9252","CELL_FDD",1850,"07-2023",0
16/07/23,"FES1051_L2","FES1051","CELL_FDD",1850,"07-2023",0
16/07/23,"NAD1023_L1","NAD1023","CELL_FDD",1850,"07-2023",0
16/07/23,"FES1039_TDD_L1","FES1039","CELL_TDD",41825,"07-2023",0
16/07/23,"OUJ931_L3","OUJ931","CELL_FDD",1850,"07-2023",0
16/07/23,"AGA1144_L8","AGA1144","CELL_FDD",6200,"07-2023",1
16/07/23,"FES972_TDD_L3","FES972","CELL_TDD",41825,"07-2023",0
16/07/23,"MEK685_L9","MEK685","CELL_FDD",6200,"07-2023",0
16/07/23,"LAA945_L3","LAA945","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1663_L4","CAS1663","CELL_FDD",3250,"07-2023",0
16/07/23,"MAR1289_L8","MAR1289","CELL_FDD",6200,"07-2023",0
16/07/23,"MEK645_L8","MEK645","CELL_FDD",6200,"07-2023",0
16/07/23,"TAN9180_TDD_L106","TAN9180","CELL_TDD",42825,"07-2023",0
16/07/23,"TAN9180_TDD_L104","TAN9180","CELL_TDD",42825,"07-2023",0
16/07/23,"MEK225_L2","MEK225","CELL_FDD",1850,"07-2023",0
16/07/23,"ALH915_L7","ALH915","CELL_FDD",6200,"07-2023",1
16/07/23,"FES1159_L7","FES1159","CELL_FDD",6200,"07-2023",0
16/07/23,"TAN9140_TDD_L1","TAN9140","CELL_TDD",41825,"07-2023",0
16/07/23,"NAD1052_L1","NAD1052","CELL_FDD",1850,"07-2023",0
16/07/23,"SA008_TDD_L6","SA008","CELL_TDD",42825,"07-2023",0
16/07/23,"FES1092_L9","FES1092","CELL_FDD",6200,"07-2023",1
16/07/23,"HAO118_L6","HAO118","CELL_FDD",3250,"07-2023",0
16/07/23,"RAB1134_L2","RAB1134","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1035_L3","CAS1035","CELL_FDD",1850,"07-2023",0
16/07/23,"MAR090_L2","MAR090","CELL_FDD",1850,"07-2023",0
16/07/23,"KFR065_L7","KFR065","CELL_FDD",6200,"07-2023",0
16/07/23,"KFR022_L2","KFR022","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN704_L1","TAN704","CELL_FDD",1850,"07-2023",0
16/07/23,"MRT007_L3","MRT007","CELL_FDD",1850,"07-2023",0
16/07/23,"FES087_L1","FES087","CELL_FDD",1850,"07-2023",0
16/07/23,"FES042_L1","FES042","CELL_FDD",1850,"07-2023",0
16/07/23,"FES221_L1","FES221","CELL_FDD",1850,"07-2023",0
16/07/23,"FE023_L3","FE023","CELL_FDD",1850,"07-2023",0
16/07/23,"AGA064_L3","AGA064","CELL_FDD",1850,"07-2023",0
16/07/23,"KBG650_L3","KBG650","CELL_FDD",1850,"07-2023",0
16/07/23,"MAR1091_L2","MAR1091","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS238_L6","CAS238","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS238_L9","CAS238","CELL_FDD",6200,"07-2023",0
16/07/23,"TAN9074_L1","TAN9074","CELL_FDD",1850,"07-2023",1
16/07/23,"KBG555_L1","KBG555","CELL_FDD",1850,"07-2023",0
